fbdb_id,player,overall_round,round_pick,position_round,position_pick,team,comp_pick,eli_yr,college,nfl_draft,birthdate,height,weight
shea-patterson-pattesh02,Shea Patterson,1,1,QB,1,MI,0,2020,Michigan,NA,1/17/1997,73,210
jordan-taamu-taamujo01,Jordan Ta'amu,1,2,QB,2,TB,0,2019,Mississippi,NA,12/10/1997,75,221
bryan-scott-scottbr02,Bryan Scott,1,3,QB,3,PHI,0,2017,Occidental,NA,8/17/1995,74,220
ben-holmes-holmebe02,Ben Holmes,1,4,QB,4,NJ,0,2020,Tarleton State,NA,10/15/1995,72,215
clayton-thorson-thorscl01,Clayton Thorson,1,5,QB,5,HOU,0,2019,Northwestern,"2019 Rnd 5 (167), Phi",6/15/1995,76,225
alex-mcgough-mcgoual01,Alex McGough,1,6,QB,6,BIR,0,2018,Florida International,"2018 Rnd 7 (220), Sea",11/19/1995,75,214
kyle-lauletta-lauleky01,Kyle Lauletta,1,7,QB,7,PIT,0,2018,Richmond,"2018 Rnd 4 (108), NYG",3/17/1995,75,222
kyle-sloter-sloteky01,Kyle Sloter,1,8,QB,8,NO,0,2017,Northern Colorado,NA,2/7/1994,77,218
davin-bellamy-bellada01,Davin Bellamy,2,1,ED,1,NO,0,2018,Georgia,NA,12/27/1994,77,259
carlo-kemp-kempca01,Carlo Kemp,2,2,ED,2,PIT,0,2021,Michigan,NA,1/1/1998,75,250
aaron-adeoye-adeoyaa01,Aaron Adeoye,2,3,ED,3,BIR,0,2016,Southeast Missouri State,NA,8/26/1993,78,273
chris-odom-odomch01,Chris Odom,2,4,ED,4,HOU,0,2017,Arkansas State,NA,9/16/1994,76,256
bryson-young-youngbr05,Bryson Young,2,5,ED,5,NJ,0,2020,Oregon,NA,NA,77,250
freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,2,6,ED,6,PHI,0,2019,Nebraska,NA,2/11/1996,75,278
mekhi-brown-brownme02,Mekhi Brown,2,7,ED,7,TB,0,2020,Tennessee State,NA,NA,77,241
adewale-adeoye-adeoyad01,Adewale Adeoye,2,8,ED,8,MI,0,2019,Utah State,NA,NA,76,270
cavon-walker-walkeca04,Cavon Walker,3,1,ED,9,MI,0,2018,Maryland,NA,7/4/1994,74,205
michael-scott-scottmi03,Michael Scott,3,2,ED,10,TB,0,2020,Oklahoma State,NA,NA,77,240
gus-cumberlander-cumbegu01,Gus Cumberlander,3,3,ED,11,PHI,0,2020,Oregon,NA,NA,79,260
kolin-hill-hillko01,Kolin Hill,3,4,ED,12,NJ,0,2019,Texas Tech,NA,NA,74,235
ahmad-gooden-goodeah01,Ahmad Gooden,3,5,ED,13,HOU,0,2019,Samford,NA,10/27/1995,74,245
chauncy-haney-haneych01,Chauncy Haney,3,6,ED,14,BIR,0,2020,North Greenville,NA,4/23/1998,77,260
nasir-player-playena01,Nasir Player,3,7,ED,15,PIT,0,2020,East Tennessee State,NA,NA,77,271
anree-saintamour-saintan01,Anree Saint-Amour,3,8,ED,16,NO,0,2019,Georgia Tech,NA,9/18/1996,75,260
james-folston-folstja03,James Folston,4,1,ED,17,NO,0,2019,Pittsburgh,NA,6/14/1996,75,233
eric-assoua-assouer01,Eric Assoua,4,2,ED,18,PIT,0,2019,Western Michigan,NA,2/6/1997,74,250
seth-thomas-thomase04,Seth Thomas,4,3,ED,19,BIR,0,2020,Northern Iowa,NA,NA,78,270
drequan-brown-browndr03,Drequan Brown,4,4,ED,20,HOU,0,2020,Central Oklahoma,NA,NA,73,233
malik-hamner-hamnema01,Malik Hamner,4,5,ED,21,NJ,0,2019,Jackson State,NA,NA,76,265
carroll-phillips-phillca01,Carroll Phillips,4,6,ED,22,PHI,0,2017,Illinois,NA,9/2/1992,74,245
adam-shuler-shulead01,Adam Shuler,4,7,ED,23,TB,0,2020,Florida,NA,12/16/1996,77,285
chase-demoor-demooch01,Chase DeMoor,4,8,ED,24,MI,0,2019,Central Washington,NA,6/12/1996,77,250
nigel-chavis-chavini01,Nigel Chavis,4,9,ED,25,NO,1,2020,Norfolk State,NA,1/10/1997,73,230
jonathan-newsome-newsojo01,Jonathan Newsome,4,10,ED,26,BIR,1,2014,Ball State,"2014 Rnd 5 (166), Ind",1/22/1991,75,247
chidi-okeke-okekech01,Chidi Okeke,5,1,T,1,PIT,0,2019,Tennessee State,NA,12/26/1996,78,315
darius-harper-harpeda03,Darius Harper,5,2,T,2,BIR,0,2021,Cincinnati,NA,NA,78,300
brandon-hitner-hitnebr01,Brandon Hitner,5,3,T,3,HOU,0,2019,Villanova,NA,5/15/1995,78,305
paul-adams-adamspa01,Paul Adams,5,4,T,4,NO,0,2019,Missouri,NA,5/17/1995,77,315
keith-williams-willike20,Keith Williams,5,5,T,5,MI,0,2022,Colorado State,NA,NA,78,285
garrett-mcghin-mcghiga01,Garrett McGhin,5,6,T,6,NJ,0,2019,East Carolina,NA,10/13/1994,78,300
blake-camper-campebl01,Blake Camper,5,7,T,7,PHI,0,2019,South Carolina,NA,12/17/1996,80,314
tyler-catalina-catalty01,Tyler Catalina,5,8,T,8,TB,0,2017,Georgia,NA,1/21/1993,76,330
corbin-kaufusi-kaufuco01,Corbin Kaufusi,6,1,T,9,TB,0,2019,Brigham Young,NA,4/12/1993,81,275
michael-rodriguez-rodrimi03,Michael Rodriguez,6,2,T,10,PHI,0,2019,Louisiana Tech,NA,8/19/1996,NA,NA
calvin-ashley-ashleca01,Calvin Ashley,6,3,T,11,NJ,0,2021,Florida A&M,NA,NA,79,330
teton-saltes-saltete01,Teton Saltes,6,4,T,12,MI,0,2021,New Mexico,NA,5/4/1998,76,300
donnell-greene-greendo09,Donnell Greene,6,5,T,13,NO,0,2019,Minnesota,NA,11/9/1995,77,335
avery-gennesy-genneav01,Avery Gennesy,6,6,T,14,HOU,0,2017,Texas A&M,NA,2/6/1994,75,318
oshea-dugas-dugasos01,O'Shea Dugas,6,7,T,15,BIR,0,2019,Louisiana Tech,NA,9/22/1996,76,335
isaiah-battle-battlis01,Isaiah Battle,6,8,T,16,PIT,0,2015,Clemson,"2015 Rnd 5 (0), Stl",2/10/1993,79,310
charles-baldwin-baldwch01,Charles Baldwin,7,1,T,17,PIT,0,2019,Youngstown State,NA,5/28/1994,77,305
justice-powers-powerju01,Justice Powers,7,2,T,18,BIR,0,2019,Alabama-Birmingham,NA,NA,75,295
john-yarbrough-yarbrjo01,John Yarbrough,7,3,T,19,HOU,0,2019,Richmond,NA,10/12/1996,77,301
marquis-lucas-lucasma03,Marquis Lucas,7,4,T,20,NO,0,2016,West Virginia,NA,3/25/1993,76,318
josh-dunlop-dunlojo01,Josh Dunlop,7,5,T,21,MI,0,2020,Texas-San Antonio,NA,4/10/1997,79,312
terry-poole-poolete01,Terry Poole,7,6,T,22,NJ,0,2015,San Diego State,"2015 Rnd 4 (130), Sea",2/27/1992,77,325
jake-burton-burtoja02,Jake Burton,7,7,T,23,PHI,0,2021,Baylor,NA,NA,78,312
juwann-bushellbeatty-busheju01,Juwann Bushell-Beatty,7,8,T,24,TB,0,2019,Michigan,NA,6/18/1996,78,315
NA,Matthew Snow,7,9,T,25,BIR,1,2020,Pace,NA,NA,78,320
joshua-taylor-taylojo08,Joshua Taylor,7,10,T,26,MI,1,2022,Mississippi Valley State,NA,NA,NA,NA
delrick-abrams-abramde01,Delrick Abrams,8,1,CB,1,TB,0,2020,Colorado,NA,4/4/1997,75,180
channing-stribling-stribch01,Channing Stribling,8,2,CB,2,PHI,0,2017,Michigan,NA,11/21/1994,74,175
devante-bausby-bausbde01,De'Vante Bausby,8,3,CB,3,NJ,0,2015,Pittsburg State,NA,1/15/1993,72,190
tino-ellis-ellisti01,Tino Ellis,8,4,CB,4,MI,0,2020,Maryland,NA,NA,73,194
adonis-alexander-alexaad01,Adonis Alexander,8,5,CB,5,NO,0,2018,Virginia Tech,"2018 Rnd 6 (0), Was",11/7/1996,75,190
jamar-summers-summeja02,Jamar Summers,8,6,CB,6,HOU,0,2018,Connecticut,NA,6/14/1995,71,191
brian-allen-allenbr05,Brian Allen,8,7,CB,7,BIR,0,2017,Utah,"2017 Rnd 5 (173), Pit",10/21/1993,75,210
ajene-harris-harriaj02,Ajene Harris,8,8,CB,8,PIT,0,2019,Southern California,NA,6/1/1996,70,185
terrell-bonds-bondste01,Terrell Bonds,9,1,CB,9,PIT,0,2018,Tennessee State,NA,7/22/1996,68,182
tae-hayes-hayesta01,Tae Hayes,9,2,CB,10,BIR,0,2019,Appalachian State,NA,8/19/1997,69,182
william-likely-likelwi01,William Likely,9,3,CB,11,HOU,0,2017,Maryland,NA,9/13/1994,67,179
derrick-jones-jonesde09,Derrick Jones,9,4,CB,12,NO,0,2017,Mississippi,"2017 Rnd 6 (204), NYJ",6/2/1994,74,188
jameson-houston-houstja01,Jameson Houston,9,5,CB,13,MI,0,2020,Baylor,NA,6/30/1996,71,200
trae-elston-elstotr01,Trae Elston,9,6,CB,14,NJ,0,2016,Mississippi,NA,2/16/1994,72,185
marcus-lewis-lewisma10,Marcus Lewis,9,7,CB,15,PHI,0,2020,Maryland,NA,7/9/1996,73,196
davante-davis-davisda09,Davante Davis,9,8,CB,16,TB,0,2019,Texas,NA,9/26/1995,74,195
christian-campbell-campbch02,Christian Campbell,10,1,CB,17,TB,0,2018,Penn State,"2018 Rnd 6 (182), Ari",11/27/1995,73,195
mazzi-wilkins-wilkima03,Mazzi Wilkins,10,2,CB,18,PHI,0,2019,South Florida,NA,10/12/1995,72,191
