season,fbdb_id,player,usfl_team,league,team_name,appearance
2016,shea-patterson-pattesh02,Shea Patterson,MI,FBS,Mississippi,1
2017,shea-patterson-pattesh02,Shea Patterson,MI,FBS,Mississippi,1
2018,shea-patterson-pattesh02,Shea Patterson,MI,FBS,Michigan,1
2019,shea-patterson-pattesh02,Shea Patterson,MI,FBS,Michigan,1
2020,shea-patterson-pattesh02,Shea Patterson,MI,NFL,Kansas City,0
2021,shea-patterson-pattesh02,Shea Patterson,MI,CFL,Montreal,1
2021,shea-patterson-pattesh02,Shea Patterson,MI,CFL,British Columbia,0
2015,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NJCAA,New Mexico Military Institute,1
2016,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NJCAA,New Mexico Military Institute,1
2017,jordan-taamu-taamujo01,Jordan Ta'amu,TB,FBS,Mississippi,1
2018,jordan-taamu-taamujo01,Jordan Ta'amu,TB,FBS,Mississippi,1
2019,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Houston,0
2020,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Kansas City,0
2020,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Detroit,0
2020,jordan-taamu-taamujo01,Jordan Ta'amu,TB,XFL,St. Louis,1
2021,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Carolina,0
2021,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Washington,0
2021,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Detroit,0
2021,jordan-taamu-taamujo01,Jordan Ta'amu,TB,NFL,Kansas City,0
2020,bryan-scott-scottbr02,Bryan Scott,PHI,CFL,Edmonton,0
2021,bryan-scott-scottbr02,Bryan Scott,PHI,CFL,Edmonton,0
2014,ben-holmes-holmebe02,Ben Holmes,NJ,NJCAA,Nassau CC (NY),1
2015,ben-holmes-holmebe02,Ben Holmes,NJ,NJCAA,Nassau CC (NY),1
2021,ben-holmes-holmebe02,Ben Holmes,NJ,TSL,Sea Lions,1
2014,clayton-thorson-thorscl01,Clayton Thorson,HOU,FBS,Northwestern,0
2015,clayton-thorson-thorscl01,Clayton Thorson,HOU,FBS,Northwestern,1
2016,clayton-thorson-thorscl01,Clayton Thorson,HOU,FBS,Northwestern,1
2017,clayton-thorson-thorscl01,Clayton Thorson,HOU,FBS,Northwestern,1
2018,clayton-thorson-thorscl01,Clayton Thorson,HOU,FBS,Northwestern,1
2019,clayton-thorson-thorscl01,Clayton Thorson,HOU,NFL,Dallas,0
2019,clayton-thorson-thorscl01,Clayton Thorson,HOU,NFL,Philadelphia,0
2020,clayton-thorson-thorscl01,Clayton Thorson,HOU,NFL,NY Giants,0
2020,clayton-thorson-thorscl01,Clayton Thorson,HOU,NFL,Dallas,0
2021,clayton-thorson-thorscl01,Clayton Thorson,HOU,NFL,NY Giants,0
2014,alex-mcgough-mcgoual01,Alex McGough,BIR,FBS,FIU,1
2015,alex-mcgough-mcgoual01,Alex McGough,BIR,FBS,FIU,1
2016,alex-mcgough-mcgoual01,Alex McGough,BIR,FBS,FIU,1
2017,alex-mcgough-mcgoual01,Alex McGough,BIR,FBS,FIU,1
2018,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Seattle,0
2019,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Houston,0
2019,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Jacksonville,0
2020,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Seattle,0
2020,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Houston,0
2021,alex-mcgough-mcgoual01,Alex McGough,BIR,NFL,Seattle,0
2013,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,FCS,Richmond,1
2014,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,FCS,Richmond,0
2015,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,FCS,Richmond,1
2016,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,FCS,Richmond,1
2017,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,FCS,Richmond,1
2018,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,NY Giants,1
2019,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Philadelphia,0
2019,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,NY Giants,0
2020,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Cleveland,0
2020,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Atlanta,0
2020,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Philadelphia,0
2021,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Cleveland,0
2021,kyle-lauletta-lauleky01,Kyle Lauletta,PIT,NFL,Jacksonville,0
2012,kyle-sloter-sloteky01,Kyle Sloter,NO,FBS,Southern Mississippi,0
2013,kyle-sloter-sloteky01,Kyle Sloter,NO,FBS,Southern Mississippi,1
2014,kyle-sloter-sloteky01,Kyle Sloter,NO,FBS,Southern Mississippi,1
2015,kyle-sloter-sloteky01,Kyle Sloter,NO,FCS,Northern Colorado,1
2016,kyle-sloter-sloteky01,Kyle Sloter,NO,FCS,Northern Colorado,1
2017,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Minnesota,0
2017,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Denver,0
2018,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Minnesota,0
2019,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Detroit,0
2019,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Arizona,0
2019,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Minnesota,0
2020,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Chicago,0
2021,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Minnesota,0
2021,kyle-sloter-sloteky01,Kyle Sloter,NO,NFL,Las Vegas,0
2013,davin-bellamy-bellada01,Davin Bellamy,NO,FBS,Georgia,0
2014,davin-bellamy-bellada01,Davin Bellamy,NO,FBS,Georgia,1
2015,davin-bellamy-bellada01,Davin Bellamy,NO,FBS,Georgia,1
2016,davin-bellamy-bellada01,Davin Bellamy,NO,FBS,Georgia,1
2017,davin-bellamy-bellada01,Davin Bellamy,NO,FBS,Georgia,1
2018,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,Houston,0
2019,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,Houston,0
2019,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,Cincinnati,0
2020,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,Houston,0
2021,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,LA Chargers,0
2021,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,San Francisco,0
2021,davin-bellamy-bellada01,Davin Bellamy,NO,NFL,Tennessee,0
2016,carlo-kemp-kempca01,Carlo Kemp,PIT,FBS,Michigan,1
2017,carlo-kemp-kempca01,Carlo Kemp,PIT,FBS,Michigan,1
2018,carlo-kemp-kempca01,Carlo Kemp,PIT,FBS,Michigan,1
2019,carlo-kemp-kempca01,Carlo Kemp,PIT,FBS,Michigan,1
2020,carlo-kemp-kempca01,Carlo Kemp,PIT,FBS,Michigan,1
2021,carlo-kemp-kempca01,Carlo Kemp,PIT,NFL,Denver,0
2021,carlo-kemp-kempca01,Carlo Kemp,PIT,NFL,Green Bay,0
2015,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,FCS,Southeast Missouri State,1
2019,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,NFL,Baltimore,0
2019,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,AAF,Birmingham,1
2020,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,NFL,Baltimore,1
2021,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,NFL,Green Bay,0
2021,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,NFL,NY Jets,0
2021,aaron-adeoye-adeoyaa01,Aaron Adeoye,BIR,NFL,Baltimore,0
2013,chris-odom-odomch01,Chris Odom,HOU,FBS,Arkansas State,1
2014,chris-odom-odomch01,Chris Odom,HOU,FBS,Arkansas State,1
2015,chris-odom-odomch01,Chris Odom,HOU,FBS,Arkansas State,1
2016,chris-odom-odomch01,Chris Odom,HOU,FBS,Arkansas State,1
2017,chris-odom-odomch01,Chris Odom,HOU,NFL,Green Bay,1
2017,chris-odom-odomch01,Chris Odom,HOU,NFL,Atlanta,0
2018,chris-odom-odomch01,Chris Odom,HOU,NFL,Green Bay,0
2019,chris-odom-odomch01,Chris Odom,HOU,NFL,Washington,1
2019,chris-odom-odomch01,Chris Odom,HOU,NFL,Atlanta,0
2019,chris-odom-odomch01,Chris Odom,HOU,AAF,Salt Lake,1
2021,chris-odom-odomch01,Chris Odom,HOU,CFL,Calgary,1
2016,bryson-young-youngbr05,Bryson Young,NJ,FBS,Oregon,1
2017,bryson-young-youngbr05,Bryson Young,NJ,FBS,Oregon,1
2018,bryson-young-youngbr05,Bryson Young,NJ,FBS,Oregon,1
2019,bryson-young-youngbr05,Bryson Young,NJ,FBS,Oregon,1
2020,bryson-young-youngbr05,Bryson Young,NJ,NFL,Atlanta,0
2021,bryson-young-youngbr05,Bryson Young,NJ,NFL,Arizona,0
2021,bryson-young-youngbr05,Bryson Young,NJ,CFL,Ottawa,0
2014,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,FBS,Nebraska,0
2015,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,FBS,Nebraska,1
2016,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,FBS,Nebraska,1
2017,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,FBS,Nebraska,1
2018,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,FBS,Nebraska,1
2019,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,Cincinnati,1
2019,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,NY Giants,0
2020,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,Cincinnati,1
2021,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,NY Jets,1
2021,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,Tennessee,0
2021,freedom-akinmoladun-akinmfr01,Freedom Akinmoladun,PHI,NFL,Cincinnati,0
2015,mekhi-brown-brownme02,Mekhi Brown,TB,FBS,Alabama,0
2016,mekhi-brown-brownme02,Mekhi Brown,TB,FBS,Alabama,1
2017,mekhi-brown-brownme02,Mekhi Brown,TB,FBS,Alabama,1
2018,mekhi-brown-brownme02,Mekhi Brown,TB,FCS,Tennessee State,1
2019,mekhi-brown-brownme02,Mekhi Brown,TB,FCS,Tennessee State,1
2014,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,FBS,Utah State,0
2015,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,FBS,Utah State,0
2016,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,FBS,Utah State,1
2017,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,FBS,Utah State,1
2018,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,FBS,Utah State,1
2021,adewale-adeoye-adeoyad01,Adewale Adeoye,MI,TSL,Linemen,1
2013,cavon-walker-walkeca04,Cavon Walker,MI,FBS,Maryland,1
2014,cavon-walker-walkeca04,Cavon Walker,MI,FBS,Maryland,1
2015,cavon-walker-walkeca04,Cavon Walker,MI,FBS,Maryland,1
2016,cavon-walker-walkeca04,Cavon Walker,MI,FBS,Maryland,1
2017,cavon-walker-walkeca04,Cavon Walker,MI,FBS,Maryland,1
2018,cavon-walker-walkeca04,Cavon Walker,MI,NFL,Chicago,0
2019,cavon-walker-walkeca04,Cavon Walker,MI,NFL,Kansas City,0
2020,cavon-walker-walkeca04,Cavon Walker,MI,NFL,Pittsburgh,0
2020,cavon-walker-walkeca04,Cavon Walker,MI,XFL,New York,1
2015,michael-scott-scottmi03,Michael Scott,TB,FBS,SMU,0
2016,michael-scott-scottmi03,Michael Scott,TB,FBS,SMU,1
2017,michael-scott-scottmi03,Michael Scott,TB,NJCAA,Trinity Valley CC (TX),1
2018,michael-scott-scottmi03,Michael Scott,TB,FBS,Oklahoma State,1
2019,michael-scott-scottmi03,Michael Scott,TB,FBS,Oklahoma State,1
2021,michael-scott-scottmi03,Michael Scott,TB,TSL,Generals,1
2015,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,FBS,Oregon,0
2016,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,FBS,Oregon,1
2017,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,FBS,Oregon,1
2018,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,FBS,Oregon,1
2019,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,FBS,Oregon,1
2020,gus-cumberlander-cumbegu01,Gus Cumberlander,PHI,NFL,New Orleans,0
2014,kolin-hill-hillko01,Kolin Hill,NJ,FBS,Notre Dame,1
2015,kolin-hill-hillko01,Kolin Hill,NJ,FBS,Texas Tech,0
2016,kolin-hill-hillko01,Kolin Hill,NJ,FBS,Texas Tech,1
2017,kolin-hill-hillko01,Kolin Hill,NJ,FBS,Texas Tech,1
2018,kolin-hill-hillko01,Kolin Hill,NJ,FBS,Texas Tech,1
2014,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,FCS,Samford,0
2015,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,FCS,Samford,1
2016,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,FCS,Samford,1
2017,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,FCS,Samford,1
2018,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,FCS,Samford,1
2019,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,NFL,NY Jets,0
2019,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,NFL,Denver,1
2020,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,NFL,Buffalo,0
2020,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,NFL,NY Jets,0
2021,ahmad-gooden-goodeah01,Ahmad Gooden,HOU,TSL,Conquerors,1
2021,chauncy-haney-haneych01,Chauncy Haney,BIR,TSL,Blues,1
2016,nasir-player-playena01,Nasir Player,PIT,FCS,East Tennessee State,1
2017,nasir-player-playena01,Nasir Player,PIT,FCS,East Tennessee State,1
2018,nasir-player-playena01,Nasir Player,PIT,FCS,East Tennessee State,1
2019,nasir-player-playena01,Nasir Player,PIT,FCS,East Tennessee State,1
2020,nasir-player-playena01,Nasir Player,PIT,NFL,Tampa Bay,0
2021,nasir-player-playena01,Nasir Player,PIT,TSL,Alphas,1
2015,anree-saintamour-saintan01,Anree Saint-Amour,NO,FBS,Georgia Tech,1
2016,anree-saintamour-saintan01,Anree Saint-Amour,NO,FBS,Georgia Tech,1
2017,anree-saintamour-saintan01,Anree Saint-Amour,NO,FBS,Georgia Tech,1
2018,anree-saintamour-saintan01,Anree Saint-Amour,NO,FBS,Georgia Tech,1
2019,anree-saintamour-saintan01,Anree Saint-Amour,NO,CFL,British Columbia,0
2019,anree-saintamour-saintan01,Anree Saint-Amour,NO,NFL,Minnesota,0
2020,anree-saintamour-saintan01,Anree Saint-Amour,NO,XFL,Seattle,0
2020,anree-saintamour-saintan01,Anree Saint-Amour,NO,CFL,British Columbia,0
2021,anree-saintamour-saintan01,Anree Saint-Amour,NO,CFL,Winnipeg,0
2014,james-folston-folstja03,James Folston,NO,FBS,Pittsburgh,0
2015,james-folston-folstja03,James Folston,NO,FBS,Pittsburgh,1
2016,james-folston-folstja03,James Folston,NO,FBS,Pittsburgh,1
2017,james-folston-folstja03,James Folston,NO,FBS,Pittsburgh,1
2018,james-folston-folstja03,James Folston,NO,FBS,Pittsburgh,1
2019,james-folston-folstja03,James Folston,NO,NFL,Green Bay,0
2019,james-folston-folstja03,James Folston,NO,NFL,Tennessee,0
2019,james-folston-folstja03,James Folston,NO,NFL,Arizona,0
2020,james-folston-folstja03,James Folston,NO,CFL,Edmonton,0
